rating,image,name
4.5,//dimg13.c-ctrip.com/images/200s0400000005j17F00E_R_130_130.jpg,Hope City Fu Shing Hotel
4.6,//dimg10.c-ctrip.com/images/hotel/469000/468491/aabf46c2f9b148acb1e584b4487cb567_R_130_130.jpg,Orange Hotel Ximen
4.3,//dimg13.c-ctrip.com/images/fd/hotel/g4/M03/D7/7E/CggYHVXW9BWAKK0-AAH1WKO0HaU187_R_130_130.jpg,Hotel Puri Ximen
4.5,//dimg11.c-ctrip.com/images/fd/hotel/g4/M04/F6/18/CggYHlXbv7OAeJaYAADh0S_veis337_R_130_130.jpg,Ambience Hotel
4.5,//dimg13.c-ctrip.com/images/200r060000001onvo6AF9_R_130_130.jpg,FX Hotel Taipei Nanjing East Rd.
4.4,//dimg11.c-ctrip.com/images/t1/hotel/1068000/1067757/68b966b93c0f4bfdb443070a04f55b6e_R_130_130.jpg,Yoyo Hotel
4.4,//dimg12.c-ctrip.com/images/fd/hotel/g5/M0B/10/5A/CggYsVb0I4yAdcKoAAC19F-C_aI948_R_130_130.jpg,Beitou Hot Spring Resort
4.6,//dimg13.c-ctrip.com/images/fd/hotel/g5/M08/A8/EF/CggYsFb4orSAP9YFAD9UgrxnloE970_R_130_130.jpg,C U Hotel Taipei
4.4,//dimg13.c-ctrip.com/images/200d0e000000715w6411B_R_130_130.jpg,dream home
4.5,//dimg10.c-ctrip.com/images/fd/hotel/g3/M01/F4/65/CggYG1XbxGGAC4sgAAEBnzsocLw729_R_130_130.jpg,THE MIRAMAR GARDEN TAIPEI
4.3,//dimg11.c-ctrip.com/images/t1/hotel/669000/668062/380a8002dfff4105865ecd25c266de43_R_130_130.jpg,Fortune Hiya Hotel
4.2,//dimg12.c-ctrip.com/images/fd/hotel/g3/M0A/17/67/CggYGlZqMQGAQWxBAA42QNcYYHQ680_R_130_130.jpg,LAN TING BUSINESS INN
4.8,//dimg13.c-ctrip.com/images/20060900000047svnFD5E_R_130_130.jpg,Evergreen Laurel Hotel Taipei
4.5,//dimg12.c-ctrip.com/images/fd/hotel/g3/M08/4B/25/CggYGlZIp1iALEaKAAL0dSQ2yx8863_R_130_130.jpg,台北馆
4.4,//dimg10.c-ctrip.com/images/200p070000002etzd081C_R_130_130.jpg,Hotel  B CHIC
4.3,//dimg13.c-ctrip.com/images/fd/hotel/g2/M0B/B1/49/CghzgFWPfP2AXfhwAARAgXnSces124_R_130_130.jpg,Hotel B6
4.6,//dimg12.c-ctrip.com/images/t1/hotel/989000/988207/ba5e9899924c46dabfd4dd72bea3945b_R_130_130.jpg,台北车站三馆
,//dimg12.c-ctrip.com/images/20020i0000009a3qv2704_R_130_130.jpg,Villa 32
4.7,//dimg10.c-ctrip.com/images/2006060000001m2n65F7F_R_130_130.jpg,Pacific Business Hotel
4.6,//dimg11.c-ctrip.com/images/200u0f0000007ffkhEE62_R_130_130.jpg,Aloft Taipei Beitou
4.5,//dimg10.c-ctrip.com/images/200h0d0000006wvw0B29A_R_130_130.jpg,台北西门馆
4.6,//dimg10.c-ctrip.com/images/20060e00000072agi5E63_R_130_130.jpg,W5 BEST HOTEL (LIDUO
4.5,//dimg13.c-ctrip.com/images/hotel/925000/924748/0315b16890344cb2bc4b583cd5c6495a_R_130_130.jpg,ECFA Hotel Kunming
3.9,//dimg11.c-ctrip.com/images/fd/hotel/g1/M06/D5/FB/CghzfFTHPEOAHzkeAARYz2F065w775_R_130_130.jpg,Rainbow Hotel
4.5,//dimg12.c-ctrip.com/images/hotel/91000/90561/e39387a0beee434a8a1228cc4786410a_R_130_130.jpg,United Hotel
4.7,//dimg11.c-ctrip.com/images/hotel/91000/90555/4782d47c10b64e138d956c85588360ab_R_130_130.jpg,The Grand Hotel
4.7,//dimg13.c-ctrip.com/images/fd/hotel/g4/M07/48/38/CggYHFZ3mc2AQL5QAALQc19ddGA347_R_130_130.jpg,台北忠孝馆
4.5,//dimg13.c-ctrip.com/images/200i060000001onpc095A_R_130_130.jpg,SAN WANT HOTEL
4.5,//dimg10.c-ctrip.com/images/fd/hotel/g4/M04/B9/BA/CggYHFZBmUSATYhbAAKyGGnwteg334_R_130_130.jpg,COSMOS HOTEL TAIPEI
4.8,//dimg11.c-ctrip.com/images/hotel/977000/976513/17fdaf6bfdc64e898bfbf7f8a6093574_R_130_130.jpg,Mandarin Oriental Taipei
4.6,//dimg13.c-ctrip.com/images/200c0k000000buzqzAD13_R_130_130.jpg,Sheraton Grand Taipei Hotel
4.6,//dimg12.c-ctrip.com/images/hotel/860000/859541/8dcaf6d0ba0e4238b1e83ad6e8b610ff_R_130_130.jpg,Taipei Garden Hotel
4.7,//dimg12.c-ctrip.com/images/200r0400000007rxmE151_R_130_130.jpg,Courtyard Taipei
4.3,//dimg11.c-ctrip.com/images/fd/hotel/g1/M05/8F/20/CghzfVVStPyAX1LaAAyJGjZ2S3s067_R_130_130.jpg,Hotel Riverview Taipei
4.7,//dimg11.c-ctrip.com/images/t1/hotel/997000/996802/04a0bfaa4f1d46bc82374801ce8cdd82_R_130_130.jpg,Regent Taipei
4.6,//dimg10.c-ctrip.com/images/fd/hotel/g2/M03/8F/D5/CghzgFWJE26AYrlUAAK_ye2owVY223_R_130_130.jpg,台北民生馆
4.5,//dimg12.c-ctrip.com/images/200d0a0000004r5576ECB_R_130_130.jpg,Li Han Hotel
4.4,//dimg12.c-ctrip.com/images/fd/hotel/g6/M06/14/5C/CggYs1arIcqANZd9AAG8XriFjao483_R_130_130.jpg,Spring City Resort
4.5,//dimg11.c-ctrip.com/images/fd/hotel/g4/M00/D7/40/CggYHlXW8aCABI7ZAADxEZO5DCk948_R_130_130.jpg,CAPITAL  WAIKOLOA HOTEL
4.7,//dimg12.c-ctrip.com/images/fd/hotel/g4/M03/E2/E1/CggYHFZf9lOAIYEHAAFwaTJilPM042_R_130_130.jpg,HOTEL PROVERBS TAIPEI
4.7,//dimg11.c-ctrip.com/images/hotel/736000/735549/b10c02e8ed774afab1ae68a7abf75f76_R_130_130.jpg,MADISON TAIPEI HOTEL
4.7,//dimg10.c-ctrip.com/images/fd/hotel/g4/M0B/EC/DB/CggYHVXafrqAXVX-AAD6-abCwCI309_R_130_130.jpg,HOTEL QUOTE Taipei
4.5,//dimg12.c-ctrip.com/images/fd/hotel/g1/M04/8F/F3/CghzfVVSuQSAZttfABJjpMM-EU0959_R_130_130.jpg,River View Suite Taipei-New
4.5,//dimg10.c-ctrip.com/images/fd/hotel/g4/M03/C4/C8/CggYHFXtH36AaV6DAADA0UWect0616_R_130_130.jpg,Newstay Inn II
4.6,//dimg10.c-ctrip.com/images/fd/hotel/g5/M0A/95/D5/CggYsVcQX7yAHSn_AAEleYL8fqY556_R_130_130.jpg,The Westin Taipei
4.5,//dimg12.c-ctrip.com/images/200v0j000000ai3l91609_R_130_130.jpg,ITaipei Service Apartment
4.4,//dimg13.c-ctrip.com/images/200p060000001il34EC28_R_130_130.jpg,VENDOME EAST INN
4.5,//dimg11.c-ctrip.com/images/200l0g0000007qf3sE621_R_130_130.jpg,Your Hotel
4.6,//dimg11.c-ctrip.com/images/fd/hotel/g6/M04/AE/D3/CggYs1b4lkmAXTNUABPCxZl-3eg952_R_130_130.jpg,原商旅士林官邸别馆
4.5,//dimg12.c-ctrip.com/images/t1/hotel/1100000/1099215/4ddbcf1f75c74aeab439aa89177832ea_R_130_130.jpg,Green World Station
4.5,//dimg12.c-ctrip.com/images/200w0a00000051s76DE63_R_130_130.jpg,Wego Funtel
4.3,//dimg10.c-ctrip.com/images/fd/hotel/g5/M04/2B/6E/CggYr1bNSH6AdDjFAAF_Dm9rvXw108_R_130_130.jpg,Taipei Fullerton Hotel East
4.6,//dimg11.c-ctrip.com/images/fd/hotel/g4/M08/ED/8E/CggYHVXajUiAElFpAADdvAILum0026_R_130_130.jpg,Forward Hotel Taipei
4.6,//dimg13.c-ctrip.com/images/fd/hotel/g3/M08/FB/71/CggYGlXdTmKADq4KAAONMKuE8h4924_R_130_130.jpg,Sparkle Hotel
4.5,//dimg12.c-ctrip.com/images/fd/hotel/g4/M06/B9/9D/CggYHFYvGNKAHMk_AAH9mhkwWz0129_R_130_130.jpg,Taipei Hotel B7 Journey
4.4,//dimg12.c-ctrip.com/images/200a0h0000008zepaC989_R_130_130.jpg,Xiemen Relite Hotel Taipei
3.7,//dimg10.c-ctrip.com/images/200p0f0000007exdp1E77_R_130_130.jpg,The Koos Hotel Dahu
4.7,//dimg10.c-ctrip.com/images/fd/hotel/g3/M0B/68/7D/CggYGVXmrFmAPBueAAoxS7wVUmw434_R_130_130.jpg,W Taipei
4.6,//dimg13.c-ctrip.com/images/t1/hotel/917000/916104/563ec865d4224d98b0e89fd49b51afc3_R_130_130.jpg,Horizon Inn
4.2,//dimg10.c-ctrip.com/images/t1/hotel/1103000/1102704/e8ce7bcb06af48d08590f4a2085c8a34_R_130_130.jpg,Friends Hotel Yoxing Regency
4.3,//dimg13.c-ctrip.com/images/fd/hotel/g1/M07/E8/3B/CghzfVV5czGAAxCrAAiJIDSFFuM660_R_130_130.jpg,CHYUAN DU SPRING RESORT
4.5,//dimg13.c-ctrip.com/images/2007060000001onozFCE1_R_130_130.jpg,The Riviera Hotel Taipei
4.0,//dimg13.c-ctrip.com/images/200m060000001ggmsAB57_R_130_130.jpg,taisugar hotel
4.4,//dimg11.c-ctrip.com/images/2004070000002espt7A17_R_130_130.jpg,I Play Inn
4.6,//dimg11.c-ctrip.com/images/fd/hotel/g6/M03/73/D7/CggYs1bvtmeAVs-6AAILIpPI3fw683_R_130_130.jpg,台北宁夏馆
4.3,//dimg12.c-ctrip.com/images/t1/hotel/977000/976388/6779de57e9e04c25a2be21c7315a24d5_R_130_130.jpg,台北松山店
4.5,//dimg11.c-ctrip.com/images/t1/hotel/1290000/1289590/465b1b7b207b4d339080e135f140aadf_R_130_130.jpg,Rose Boutique Hotel-Ximen
4.8,//dimg11.c-ctrip.com/images/fd/hotel/g1/M03/B4/C9/CghzfVWofzWAQLaOAAB03G1P48Y743_R_130_130.jpg,Muses2 Taipei
4.3,//dimg10.c-ctrip.com/images/2003060000001opsd8EC8_R_130_130.jpg,mulan city villa motel
4.3,//dimg11.c-ctrip.com/images/200d0800000039sbxD231_R_130_130.jpg,开封馆
,//dimg12.c-ctrip.com/images/200j0h0000008v6stFBA0_R_130_130.jpg,
4.2,//dimg12.c-ctrip.com/images/200g050000000mysm4B9E_R_130_130.jpg,DAHSHIN HOTEL
4.7,//dimg12.c-ctrip.com/images/200k060000001ot7vA2D1_R_130_130.jpg,K-Hotel Songjiang
4.4,//dimg11.c-ctrip.com/images/fd/hotel/g3/M0A/5E/7B/CggYGlYI29GAbcWXAABpyhCatPk949_R_130_130.jpg,Forte Orange Hotel- Linsen
4.2,//dimg12.c-ctrip.com/images/2008060000001j0ef4CE8_R_130_130.jpg,Lotus Garden Hotel
4.7,//dimg12.c-ctrip.com/images/fd/hotel/g4/M08/FB/6E/CggYHFX_7nCAehIiAAG19OQVsA0027_R_130_130.jpg,衡阳馆
4.7,//dimg10.c-ctrip.com/images/200b090000003xobe2411_R_130_130.jpg,Hotel June
4.2,//dimg13.c-ctrip.com/images/fd/hotel/g4/M01/FB/4D/CggYHFXcIdqANBI1AAEskqdL1ck883_R_130_130.jpg,Chair Man Hotel
4.7,//dimg13.c-ctrip.com/images/fd/hotel/g5/M09/0F/B2/CggYsVb0IQSAO2PbAAOx6IbF_Ks132_R_130_130.jpg,Hotel Relax II
3.9,//dimg10.c-ctrip.com/images/200c0g00000086yysD35A_R_130_130.jpg,JIA RONG HOSTEL
4.5,//dimg10.c-ctrip.com/images/hotel/481000/480089/560263835d3241ecb4d89944325baa63_R_130_130.jpg,Miyi Hotel
4.6,//dimg10.c-ctrip.com/images/fd/hotel/g3/M04/F5/1D/CggYGVXbynSANExCAAFPdmUN9PE939_R_130_130.jpg,Chaiin Hotel - Dongmen
4.4,//dimg13.c-ctrip.com/images/fd/hotel/g2/M0B/9A/50/CghzgVWDxaCAM6GuAAESnhutwJE157_R_130_130.jpg,Hotel B7
4.7,//dimg12.c-ctrip.com/images/200l08000000309961DEC_R_130_130.jpg,DANDY DAAN HOTEL
4.5,//dimg11.c-ctrip.com/images/200s0c0000006488098CC_R_130_130.jpg,台北天津店
4.2,//dimg13.c-ctrip.com/images/2002050000000o4eb095B_R_130_130.jpg,Taipei M Hotel- Main Station
4.7,//dimg12.c-ctrip.com/images/t1/hotel/1182000/1181758/e28830f883c7436b9a7b8585a6899f97_R_130_130.jpg,HOMEY HOUSE
4.3,//dimg13.c-ctrip.com/images/fd/hotel/g4/M09/FC/D3/CggYHFXubmaABjj3AAQLFwfUWio193_R_130_130.jpg,Royal Hotel
4.5,//dimg11.c-ctrip.com/images/t1/hotel/994000/993468/13e714fbb465445ba3175f13206cc7df_R_130_130.jpg,台北西门捷运店
4.5,//dimg13.c-ctrip.com/images/20020f0000007bb3nACE4_R_130_130.jpg,原谦商旅
4.7,//dimg10.c-ctrip.com/images/hotel/929000/928536/6e9e08c46b5e479e837f2a6bcd3a5e2c_R_130_130.jpg,San Want Residences Taipei
4.3,//dimg12.c-ctrip.com/images/fd/hotel/g5/M05/18/88/CggYsVb0ZH6AKpNlAAZGnUK_7RM903_R_130_130.jpg,Dongmen Hotel
4.7,//dimg13.c-ctrip.com/images/200r0h0000008tdwwA5C8_R_130_130.jpg,Urtrip Hotel
4.3,//dimg12.c-ctrip.com/images/fd/hotel/g4/M08/64/C6/CggYHFawO-OAUqXvABB06v8oe0Y261_R_130_130.jpg,Diary of Taipei I
4.7,//dimg12.c-ctrip.com/images/200o060000001oomaE40A_R_130_130.jpg,庆城馆
4.7,//dimg10.c-ctrip.com/images/hotel/91000/90601/a98b19935c8f4a87a5ac2701e6582533_R_130_130.jpg,The  Landis Taipei Hotel
4.6,//dimg12.c-ctrip.com/images/200g060000001ro7343D6_R_130_130.jpg,Bayman Hotel
4.5,//dimg10.c-ctrip.com/images/fd/hotel/g2/M02/2E/5C/Cghzf1VMdK2AO6d9ABrZZe32De4896_R_130_130.jpg,Le Meridien Taipei
3.9,//dimg12.c-ctrip.com/images/20080d0000006vss23845_R_130_130.jpg,Meistay
4.9,//dimg10.c-ctrip.com/images/fd/hotel/g6/M07/C5/54/CggYslczn4-AX5teAADJAonTOtQ073_R_130_130.jpg,Lane To Life Apartment
4.1,//dimg12.c-ctrip.com/images/t1/hotel/1100000/1099445/6cf98194e7244a87bcbaac66b05d4479_R_130_130.jpg,Atami Hotel Taipei Onsen
4.6,//dimg13.c-ctrip.com/images/200m060000001j896D3FC_R_130_130.jpg,Huashe Hotel
4.4,//dimg12.c-ctrip.com/images/fd/hotel/g6/M00/8E/E0/CggYs1c1w9mAHEcGAAYWtrnlEg4694_R_130_130.jpg,Hotel Relax
4.3,//dimg13.c-ctrip.com/images/fd/hotel/g2/M02/30/F7/CghzgVV_lhiAFOVVAAF5Fq7ybH8437_R_130_130.jpg,Landis Resort Yangmingshan
4.7,//dimg13.c-ctrip.com/images/200h070000002qxks0B4C_R_130_130.jpg,Hotel éclat
4.4,//dimg11.c-ctrip.com/images/2009060000001oqqw1E01_R_130_130.jpg,ColorMix Hotel & Hostel
4.7,//dimg12.c-ctrip.com/images/hotel/860000/859733/1f7a663791704974b4b7e1c9128dfc05_R_130_130.jpg,台北南西馆
5.0,//dimg11.c-ctrip.com/images/200s0g00000086qsx06D1_R_130_130.jpg,Uinn Business Hotel Shilin
4.6,//dimg12.c-ctrip.com/images/200k0c00000066ef7315C_R_130_130.jpg,台北长安122馆
3.7,//dimg10.c-ctrip.com/images/t1/hotel/702000/701394/bb08f624c2ab4e26ba979e45a75ede35_R_130_130.jpg,RF Pretty Hotel
4.3,//dimg11.c-ctrip.com/images/hotel/483000/482541/177b5fbe927b4c54aa4b476be88198db_R_130_130.jpg,Green World SongJiang
3.9,//dimg10.c-ctrip.com/images/t1/hotel/1058000/1057725/46a783c25e2b49c2a296f37cd28cc82e_R_130_130.jpg,Hau Shuang Hotel
4.5,//dimg13.c-ctrip.com/images/t1/hotel/1442000/1441908/d6c293b6abeb4963a3cab5e20f194b21_R_130_130.jpg,AQUA BELLA HOTEL
4.0,//dimg10.c-ctrip.com/images/20070d0000006wzyx83A5_R_130_130.jpg,Shin-Shih Hotel coordinate
4.5,//dimg13.c-ctrip.com/images/fd/hotel/g6/M08/09/FA/CggYslb0ErSAKsWmAAIYKV9Y7OI580_R_130_130.jpg,SWIIO HOTEL
4.2,//dimg12.c-ctrip.com/images/fd/hotel/g2/M07/4B/8E/Cghzf1VuW5uAFV9MABVTmSn7aM8938_R_130_130.jpg,shihlinstayplus
4.8,//dimg11.c-ctrip.com/images/fd/hotel/g6/M09/5B/02/CggYtFcgcjaAUq2BAALPKdCrPN4549_R_130_130.jpg,Best Hostel
4.6,//dimg10.c-ctrip.com/images/200c0500000013x0t8167_R_130_130.jpg,Aloft Taipei Zhongshan
4.1,//dimg12.c-ctrip.com/images/2006060000001ygtyDB73_R_130_130.jpg,台北长春店
4.2,//dimg11.c-ctrip.com/images/200i0600000018yx4CA35_R_130_130.jpg,Taipei Metro Stay-Shihlin Stay
4.4,//dimg10.c-ctrip.com/images/200i0i0000009ce245E72_R_130_130.jpg,台北馆
4.8,//dimg12.c-ctrip.com/images/200u0h0000008s7jk1D8C_R_130_130.jpg,Place Inn Taipei
